Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;6;1109;100,0;24;24;0;0;100,00;967;142;20;9;109;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;Totalt i retning Hamna;3170;100,0;24;24;0;20;99,37;3101;49;18;13;7;11;10;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;Totalt i retning Langnestunnelen;3797;100,0;24;24;0;7;99,82;3293;497;59;24;393;21;21;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-06T00:00+01:00;2022-03-07T00:00+01:00;2022-03-06;Totalt;6967;100,0;24;24;0;27;99,61;6394;546;77;37;400;32;31;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;1;2343;100,0;24;24;0;19;99,19;2214;110;33;59;7;11;10;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;2;3042;100,0;24;24;0;121;96,02;2451;470;35;89;302;44;38;6
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;3;7498;100,0;24;24;0;5;99,93;7275;218;75;99;23;21;21;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;4;6677;100,0;24;24;0;315;95,28;5741;621;174;114;263;70;61;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;6;3000;100,0;24;24;0;0;100,00;2595;405;107;70;220;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;Totalt i retning Hamna;9840;100,0;24;24;0;24;99,76;9488;328;109;158;30;31;30;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;Totalt i retning Langnestunnelen;12720;100,0;24;24;0;436;96,57;10788;1496;315;273;785;123;108;15
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-07T00:00+01:00;2022-03-08T00:00+01:00;2022-03-07;Totalt;22560;100,0;24;24;0;460;97,96;20276;1824;424;431;815;154;138;16
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;1;2324;100,0;24;24;0;23;99,01;2172;129;31;81;9;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-08T00:00+01:00;2022-03-09T00:00+01:00;2022-03-08;2;2691;100,0;24;24;0;68;97,47;2182;441;46;64;302;29;27;2
